date,SlowK,SlowD
2019-01-18 09:39,38.1464,43.0771
2019-01-18 09:40,33.2155,41.4875
2019-01-18 09:41,18.7671,30.043
2019-01-18 09:42,9.6893,20.5573
2019-01-18 09:43,14.0639,14.1734
2019-01-18 09:44,38.9036,20.8856
2019-01-18 09:45,62.5073,38.4916
2019-01-18 09:46,74.2372,58.5494
2019-01-18 09:47,73.5718,70.1054
2019-01-18 09:48,67.8434,71.8841
2019-01-18 09:49,62.0956,67.8369
2019-01-18 09:50,55.7719,61.9036
2019-01-18 09:51,57.4061,58.4245
2019-01-18 09:52,61.7274,58.3018
2019-01-18 09:53,68.7176,62.6171
2019-01-18 09:54,74.0816,68.1755
2019-01-18 09:55,79.1111,73.9701
2019-01-18 09:56,76.3664,76.5197
2019-01-18 09:57,49.8927,68.4568
2019-01-18 09:58,39.4314,55.2302
2019-01-18 09:59,33.335,40.8864
2019-01-18 10:00,50.7422,41.1696
2019-01-18 10:01,65.4605,49.8459
2019-01-18 10:02,67.6612,61.288
2019-01-18 10:03,56.9847,63.3688
2019-01-18 10:04,47.6258,57.4239
2019-01-18 10:05,53.1479,52.5861
2019-01-18 10:06,63.1911,54.6549
2019-01-18 10:07,69.8958,62.0783
2019-01-18 10:08,64.7908,65.9592
2019-01-18 10:09,63.5724,66.0863
2019-01-18 10:10,52.403,60.2554
2019-01-18 10:11,51.9581,55.9778
2019-01-18 10:12,39.2098,47.857
2019-01-18 10:13,40.9599,44.0426
2019-01-18 10:14,40.0685,40.0794
2019-01-18 10:15,56.1482,45.7255
2019-01-18 10:16,62.6145,52.9438
2019-01-18 10:17,68.6646,62.4758
2019-01-18 10:18,52.9205,61.3999
2019-01-18 10:19,51.7842,57.7897
2019-01-18 10:20,45.7796,50.1614
2019-01-18 10:21,68.3681,55.3106
2019-01-18 10:22,77.5818,63.9099
2019-01-18 10:23,89.8357,78.5952
2019-01-18 10:24,94.5711,87.3296
2019-01-18 10:25,95.1607,93.1892
2019-01-18 10:26,88.8376,92.8565
2019-01-18 10:27,82.4289,88.8091
2019-01-18 10:28,64.104,78.4568
2019-01-18 10:29,47.9312,64.8213
2019-01-18 10:30,46.7922,52.9424
2019-01-18 10:31,59.467,51.3968
2019-01-18 10:32,70.2149,58.8247
2019-01-18 10:33,65.7285,65.1368
2019-01-18 10:34,63.6866,66.5434
2019-01-18 10:35,71.683,67.0327
2019-01-18 10:36,63.7329,66.3675
2019-01-18 10:37,71.4249,68.9469
2019-01-18 10:38,75.9887,70.3822
2019-01-18 10:39,86.6159,78.0098
2019-01-18 10:40,71.232,77.9455
2019-01-18 10:41,62.5161,73.4547
2019-01-18 10:42,67.5672,67.1051
2019-01-18 10:43,73.1774,67.7536
