date,SMA
2019-03-04 09:50,176.7698
2019-03-04 09:51,176.8153
2019-03-04 09:52,176.8663
2019-03-04 09:53,176.8903
2019-03-04 09:54,176.9298
2019-03-04 09:55,176.9775
2019-03-04 09:56,177.024
2019-03-04 09:57,177.0713
2019-03-04 09:58,177.106
2019-03-04 09:59,177.141
2019-03-04 10:00,177.167
2019-03-04 10:01,177.1898
2019-03-04 10:02,177.2097
2019-03-04 10:03,177.2368
2019-03-04 10:04,177.2718
2019-03-04 10:05,177.2943
2019-03-04 10:06,177.3253
2019-03-04 10:07,177.3478
2019-03-04 10:08,177.3587
2019-03-04 10:09,177.3594
2019-03-04 10:10,177.3649
2019-03-04 10:11,177.3674
2019-03-04 10:12,177.3582
2019-03-04 10:13,177.3412
2019-03-04 10:14,177.3167
2019-03-04 10:15,177.2969
2019-03-04 10:16,177.2764
2019-03-04 10:17,177.2559
2019-03-04 10:18,177.2252
2019-03-04 10:19,177.1962
2019-03-04 10:20,177.1692
2019-03-04 10:21,177.1474
2019-03-04 10:22,177.1275
2019-03-04 10:23,177.1174
2019-03-04 10:24,177.1059
2019-03-04 10:25,177.1004
2019-03-04 10:26,177.0937
2019-03-04 10:27,177.0897
2019-03-04 10:28,177.0927
2019-03-04 10:29,177.0972
2019-03-04 10:30,177.1087
2019-03-04 10:31,177.1232
2019-03-04 10:32,177.1417
2019-03-04 10:33,177.1552
2019-03-04 10:34,177.1722
2019-03-04 10:35,177.1747
2019-03-04 10:36,177.1747
2019-03-04 10:37,177.1747
2019-03-04 10:38,177.1774
2019-03-04 10:39,177.1734
2019-03-04 10:40,177.1739
2019-03-04 10:41,177.1684
2019-03-04 10:42,177.1561
2019-03-04 10:43,177.1361
2019-03-04 10:44,177.1076
2019-03-04 10:45,177.0886
2019-03-04 10:46,177.0758
2019-03-04 10:47,177.0638
2019-03-04 10:48,177.0513
2019-03-04 10:49,177.0452
2019-03-04 10:50,177.0302
2019-03-04 10:51,177.0182
2019-03-04 10:52,177.0049
2019-03-04 10:53,176.9954
2019-03-04 10:54,176.9874
2019-03-04 10:55,176.9704
2019-03-04 10:56,176.9624
2019-03-04 10:57,176.9489
2019-03-04 10:58,176.9412
2019-03-04 10:59,176.9287
2019-03-04 11:00,176.9163
2019-03-04 11:01,176.9033
2019-03-04 11:02,176.8947
2019-03-04 11:03,176.8784
2019-03-04 11:04,176.8629
2019-03-04 11:05,176.8364
2019-03-04 11:06,176.8011
2019-03-04 11:07,176.7654
2019-03-04 11:08,176.7274
2019-03-04 11:09,176.6749
2019-03-04 11:10,176.6254
2019-03-04 11:11,176.5824
2019-03-04 11:12,176.5524
2019-03-04 11:13,176.5279
2019-03-04 11:14,176.5044
2019-03-04 11:15,176.4909
2019-03-04 11:16,176.4739
2019-03-04 11:17,176.4679
2019-03-04 11:18,176.4594
2019-03-04 11:19,176.4542
2019-03-04 11:20,176.4543
2019-03-04 11:21,176.4533
2019-03-04 11:22,176.4458
2019-03-04 11:23,176.4455
2019-03-04 11:24,176.4421
2019-03-04 11:25,176.4356
2019-03-04 11:26,176.4351
2019-03-04 11:27,176.4363
2019-03-04 11:28,176.4398
2019-03-04 11:29,176.453
2019-03-04 11:30,176.469
2019-03-04 11:31,176.478
2019-03-04 11:32,176.48
2019-03-04 11:33,176.4675
2019-03-04 11:34,176.4483
2019-03-04 11:35,176.4358
2019-03-04 11:36,176.4273
2019-03-04 11:37,176.4101
2019-03-04 11:38,176.3836
2019-03-04 11:39,176.3603
2019-03-04 11:40,176.3256
2019-03-04 11:41,176.2861
2019-03-04 11:42,176.2441
2019-03-04 11:43,176.1936
2019-03-04 11:44,176.143
2019-03-04 11:45,176.088
2019-03-04 11:46,176.0372
2019-03-04 11:47,175.9912
2019-03-04 11:48,175.9342
2019-03-04 11:49,175.8874
2019-03-04 11:50,175.8404
2019-03-04 11:51,175.7924
2019-03-04 11:52,175.7394
2019-03-04 11:53,175.6896
2019-03-04 11:54,175.6418
2019-03-04 11:55,175.5908
2019-03-04 11:56,175.5268
2019-03-04 11:57,175.4616
2019-03-04 11:58,175.409
2019-03-04 11:59,175.3595
2019-03-04 12:00,175.3186
2019-03-04 12:01,175.2901
2019-03-04 12:02,175.2675
2019-03-04 12:03,175.2481
2019-03-04 12:04,175.2397
2019-03-04 12:05,175.2477
2019-03-04 12:06,175.2452
2019-03-04 12:07,175.2367
2019-03-04 12:08,175.2387
2019-03-04 12:09,175.2352
2019-03-04 12:10,175.2377
2019-03-04 12:11,175.2357
2019-03-04 12:12,175.2364
2019-03-04 12:13,175.2392
2019-03-04 12:14,175.2407
2019-03-04 12:15,175.2382
2019-03-04 12:16,175.2467
2019-03-04 12:17,175.2432
2019-03-04 12:18,175.2212
2019-03-04 12:19,175.1877
2019-03-04 12:20,175.1423
2019-03-04 12:21,175.0978
2019-03-04 12:22,175.0538
2019-03-04 12:23,175.0018
2019-03-04 12:24,174.9473
2019-03-04 12:25,174.8837
2019-03-04 12:26,174.8227
2019-03-04 12:27,174.7587
2019-03-04 12:28,174.7067
2019-03-04 12:29,174.6602
2019-03-04 12:30,174.6132
2019-03-04 12:31,174.5782
2019-03-04 12:32,174.5396
2019-03-04 12:33,174.5056
2019-03-04 12:34,174.4652
2019-03-04 12:35,174.4333
2019-03-04 12:36,174.4091
2019-03-04 12:37,174.3961
2019-03-04 12:38,174.3891
2019-03-04 12:39,174.3936
2019-03-04 12:40,174.4129
2019-03-04 12:41,174.418
2019-03-04 12:42,174.433
2019-03-04 12:43,174.4585
2019-03-04 12:44,174.4785
2019-03-04 12:45,174.4915
2019-03-04 12:46,174.5025
2019-03-04 12:47,174.5265
2019-03-04 12:48,174.531
2019-03-04 12:49,174.5305
2019-03-04 12:50,174.532
2019-03-04 12:51,174.537
2019-03-04 12:52,174.5427
2019-03-04 12:53,174.5512
2019-03-04 12:54,174.5676
2019-03-04 12:55,174.5811
2019-03-04 12:56,174.5813
2019-03-04 12:57,174.5758
2019-03-04 12:58,174.5843
2019-03-04 12:59,174.5858
2019-03-04 13:00,174.5913
2019-03-04 13:01,174.5962
2019-03-04 13:02,174.5901
2019-03-04 13:03,174.5921
2019-03-04 13:04,174.5926
2019-03-04 13:05,174.5972
2019-03-04 13:06,174.6087
2019-03-04 13:07,174.6092
2019-03-04 13:08,174.6192
2019-03-04 13:09,174.6207
2019-03-04 13:10,174.617
2019-03-04 13:11,174.608
2019-03-04 13:12,174.6018
2019-03-04 13:13,174.5978
2019-03-04 13:14,174.5968
2019-03-04 13:15,174.5938
2019-03-04 13:16,174.5973
2019-03-04 13:17,174.6183
2019-03-04 13:18,174.6303
2019-03-04 13:19,174.6448
2019-03-04 13:20,174.6493
2019-03-04 13:21,174.6663
2019-03-04 13:22,174.6869
2019-03-04 13:23,174.6989
2019-03-04 13:24,174.7149
2019-03-04 13:25,174.7389
2019-03-04 13:26,174.7534
2019-03-04 13:27,174.7732
2019-03-04 13:28,174.7942
2019-03-04 13:29,174.832
2019-03-04 13:30,174.8688
2019-03-04 13:31,174.9001
2019-03-04 13:32,174.9336
2019-03-04 13:33,174.9591
2019-03-04 13:34,174.9841
2019-03-04 13:35,175.0081
2019-03-04 13:36,175.0279
2019-03-04 13:37,175.0404
2019-03-04 13:38,175.0562
2019-03-04 13:39,175.0697
2019-03-04 13:40,175.0807
2019-03-04 13:41,175.0877
2019-03-04 13:42,175.0955
2019-03-04 13:43,175.1075
2019-03-04 13:44,175.1175
2019-03-04 13:45,175.129
2019-03-04 13:46,175.1485
2019-03-04 13:47,175.1657
2019-03-04 13:48,175.1832
2019-03-04 13:49,175.1907
2019-03-04 13:50,175.1992
2019-03-04 13:51,175.2119
2019-03-04 13:52,175.2179
2019-03-04 13:53,175.2324
2019-03-04 13:54,175.2469
2019-03-04 13:55,175.2589
2019-03-04 13:56,175.2711
2019-03-04 13:57,175.2776
2019-03-04 13:58,175.2802
2019-03-04 13:59,175.2867
2019-03-04 14:00,175.3032
2019-03-04 14:01,175.3199
2019-03-04 14:02,175.3269
2019-03-04 14:03,175.3319
2019-03-04 14:04,175.3354
2019-03-04 14:05,175.3379
2019-03-04 14:06,175.3395
2019-03-04 14:07,175.3475
2019-03-04 14:08,175.3525
2019-03-04 14:09,175.3516
2019-03-04 14:10,175.3491
2019-03-04 14:11,175.3471
2019-03-04 14:12,175.3476
2019-03-04 14:13,175.3506
2019-03-04 14:14,175.3486
2019-03-04 14:15,175.3526
2019-03-04 14:16,175.3601
2019-03-04 14:17,175.3801
2019-03-04 14:18,175.3985
2019-03-04 14:19,175.412
2019-03-04 14:20,175.424
2019-03-04 14:21,175.431
2019-03-04 14:22,175.443
2019-03-04 14:23,175.456
2019-03-04 14:24,175.473
2019-03-04 14:25,175.4905
2019-03-04 14:26,175.505
2019-03-04 14:27,175.512
2019-03-04 14:28,175.523
2019-03-04 14:29,175.541
2019-03-04 14:30,175.5565
2019-03-04 14:31,175.567
2019-03-04 14:32,175.5815
2019-03-04 14:33,175.5875
2019-03-04 14:34,175.5924
2019-03-04 14:35,175.5904
2019-03-04 14:36,175.5889
2019-03-04 14:37,175.5774
2019-03-04 14:38,175.5672
2019-03-04 14:39,175.5597
2019-03-04 14:40,175.5502
2019-03-04 14:41,175.5495
2019-03-04 14:42,175.5495
2019-03-04 14:43,175.55
2019-03-04 14:44,175.5476
2019-03-04 14:45,175.5426
2019-03-04 14:46,175.5371
2019-03-04 14:47,175.5311
2019-03-04 14:48,175.5191
2019-03-04 14:49,175.5036
2019-03-04 14:50,175.4896
2019-03-04 14:51,175.4816
2019-03-04 14:52,175.4841
2019-03-04 14:53,175.4866
2019-03-04 14:54,175.4922
2019-03-04 14:55,175.4992
2019-03-04 14:56,175.5052
2019-03-04 14:57,175.515
2019-03-04 14:58,175.5196
2019-03-04 14:59,175.526
2019-03-04 15:00,175.5265
2019-03-04 15:01,175.5235
2019-03-04 15:02,175.517
2019-03-04 15:03,175.511
2019-03-04 15:04,175.5043
2019-03-04 15:05,175.4943
2019-03-04 15:06,175.4883
2019-03-04 15:07,175.4828
2019-03-04 15:08,175.4798
2019-03-04 15:09,175.4793
2019-03-04 15:10,175.4731
2019-03-04 15:11,175.4676
2019-03-04 15:12,175.4531
2019-03-04 15:13,175.4411
2019-03-04 15:14,175.4276
2019-03-04 15:15,175.4166
2019-03-04 15:16,175.4011
2019-03-04 15:17,175.3908
2019-03-04 15:18,175.3882
2019-03-04 15:19,175.3832
2019-03-04 15:20,175.3827
2019-03-04 15:21,175.3787
2019-03-04 15:22,175.3802
2019-03-04 15:23,175.3762
2019-03-04 15:24,175.3677
2019-03-04 15:25,175.3647
2019-03-04 15:26,175.3658
2019-03-04 15:27,175.3698
2019-03-04 15:28,175.3758
2019-03-04 15:29,175.3773
2019-03-04 15:30,175.3815
2019-03-04 15:31,175.3825
2019-03-04 15:32,175.386
2019-03-04 15:33,175.3905
2019-03-04 15:34,175.399
2019-03-04 15:35,175.4095
2019-03-04 15:36,175.425
2019-03-04 15:37,175.4345
2019-03-04 15:38,175.449
2019-03-04 15:39,175.462
2019-03-04 15:40,175.4705
2019-03-04 15:41,175.4825
2019-03-04 15:42,175.493
2019-03-04 15:43,175.507
2019-03-04 15:44,175.5245
2019-03-04 15:45,175.5475
2019-03-04 15:46,175.5675
2019-03-04 15:47,175.5875
2019-03-04 15:48,175.605
2019-03-04 15:49,175.623
2019-03-04 15:50,175.6385
2019-03-04 15:51,175.6565
2019-03-04 15:52,175.6665
2019-03-04 15:53,175.6735
2019-03-04 15:54,175.688
2019-03-04 15:55,175.699
2019-03-04 15:56,175.7008
2019-03-04 15:57,175.7043
2019-03-04 15:58,175.7038
2019-03-04 15:59,175.7078
2019-03-04 16:00,175.7188
2019-03-05 09:31,175.7203
2019-03-05 09:32,175.7003
2019-03-05 09:33,175.6893
2019-03-05 09:34,175.6668
2019-03-05 09:35,175.6458
2019-03-05 09:36,175.6408
2019-03-05 09:37,175.6233
