date,SlowD,SlowK
2019-01-28 09:39,16.8383,33.852
2019-01-28 09:40,29.8877,46.2385
2019-01-28 09:41,41.2824,43.7566
2019-01-28 09:42,41.0923,33.2817
2019-01-28 09:43,34.8263,27.4407
2019-01-28 09:44,34.7058,43.395
2019-01-28 09:45,44.5865,62.9237
2019-01-28 09:46,58.3078,68.6046
2019-01-28 09:47,61.3929,52.6503
2019-01-28 09:48,46.8573,19.317
2019-01-28 09:49,23.9891,0.0
2019-01-28 09:50,6.439,0.0
2019-01-28 09:51,1.5046,4.5139
2019-01-28 09:52,10.1817,26.0312
2019-01-28 09:53,29.9699,59.3646
2019-01-28 09:54,56.7392,84.8219
2019-01-28 09:55,72.3936,72.9944
2019-01-28 09:56,65.8258,39.6611
2019-01-28 09:57,42.986,16.3024
2019-01-28 09:58,30.8988,36.7328
2019-01-28 09:59,39.2856,64.8215
2019-01-28 10:00,63.1797,87.9847
2019-01-28 10:01,70.2236,57.8645
2019-01-28 10:02,69.0152,61.1964
2019-01-28 10:03,55.2815,46.7835
2019-01-28 10:04,55.2592,57.7979
2019-01-28 10:05,44.2961,28.3069
2019-01-28 10:06,39.9021,33.6016
2019-01-28 10:07,38.9259,54.8692
2019-01-28 10:08,55.8999,79.2288
2019-01-28 10:09,71.5898,80.6714
2019-01-28 10:10,76.6396,70.0185
2019-01-28 10:11,65.9176,47.0631
2019-01-28 10:12,47.3482,24.9629
2019-01-28 10:13,28.7258,14.1515
2019-01-28 10:14,19.6624,19.8728
2019-01-28 10:15,17.9657,19.8728
2019-01-28 10:16,22.6091,28.0816
2019-01-28 10:17,27.1404,33.4668
2019-01-28 10:18,37.3296,50.4405
2019-01-28 10:19,48.0703,60.3036
2019-01-28 10:20,63.3135,79.1966
2019-01-28 10:21,78.3521,95.5562
2019-01-28 10:22,89.1396,92.666
2019-01-28 10:23,93.3405,91.7994
2019-01-28 10:24,86.0004,73.5359
2019-01-28 10:25,77.2951,66.55
2019-01-28 10:26,60.1114,40.2483
2019-01-28 10:27,55.1034,58.5118
2019-01-28 10:28,57.1973,72.8317
2019-01-28 10:29,77.1145,100.0
2019-01-28 10:30,89.7201,96.3286
2019-01-28 10:31,93.091,82.9445
2019-01-28 10:32,81.899,66.4238
2019-01-28 10:33,62.258,37.4055
2019-01-28 10:34,40.4285,17.4562
2019-01-28 10:35,18.5018,0.6436
2019-01-28 10:36,7.1133,3.24
2019-01-28 10:37,2.3745,3.24
2019-01-28 10:38,3.24,3.24
2019-01-28 10:39,6.0842,11.7728
2019-01-28 10:40,9.5723,13.7041
2019-01-28 10:41,24.1714,47.0374
2019-01-28 10:42,39.1505,56.7101
2019-01-28 10:43,63.9532,88.1121
2019-01-28 10:44,77.6448,88.1121
2019-01-28 10:45,90.8792,96.4134
2019-01-28 10:46,89.9016,85.1794
2019-01-28 10:47,77.813,51.8461
2019-01-28 10:48,53.0416,22.0993
2019-01-28 10:49,26.3628,5.1429
2019-01-28 10:50,10.795,5.1429
2019-01-28 10:51,5.1429,5.1429
2019-01-28 10:52,3.4286,0.0
2019-01-28 10:53,5.0829,10.1059
2019-01-28 10:54,13.35,29.9441
2019-01-28 10:55,34.4425,63.2774
